case_number,trip_duration_days,miles_traveled,total_receipts_amount,expected_output,algorithm_result,absolute_error,error_percentage
654,11,512,2016.19,1710.53,1452.09,258.44000000000005,15.108767458039324
601,6,378,837.63,1215.96,1474.59,258.6299999999999,21.269614132043806
820,1,482,1697.08,1198.24,938.91,259.33000000000004,21.642575777807455
455,7,901,136.8,1222.6,963.15,259.44999999999993,21.221168002617368
326,5,831,591.65,1090.31,1349.79,259.48,23.79873613926315
990,3,992,1897.41,1539,1279.01,259.99,16.89343729694607
199,1,420,2273.6,1220.35,959.36,260.9899999999999,21.386487483099103
824,2,299,1612.7,1282.8,1021.39,261.40999999999997,20.37807920174618
371,2,301,769.23,731.28,993.07,261.7900000000001,35.79887320862051
662,12,947,193.05,1225.63,1487.54,261.90999999999985,21.36941817677438
657,9,1165,1868.79,1945.95,2209.95,263.9999999999998,13.566638402836647
700,2,370,1554.5,1311.23,1047.1,264.1300000000001,20.143681886473015
166,2,165,1813.32,1273.45,1009.18,264.2700000000001,20.752287094114422
120,6,222.08,709.07,1031.34,1296.14,264.8000000000002,25.675335001066596
681,12,852,1957.9,1944.89,2209.79,264.89999999999986,13.62030757523561
463,11,667,2221.67,1872.89,1607.31,265.58000000000015,14.180224145571824
504,6,373,587.38,956.61,1222.74,266.13,27.820114780317994
834,11,372,2048.26,1632.61,1366.31,266.29999999999995,16.311305210674927
428,7,635,1406.31,1630.66,1897.04,266.3799999999999,16.335716826315718
465,4,217,1506.46,1455.37,1187.97,267.39999999999986,18.373334615939584
621,4,72,1367.29,1302.97,1035.16,267.80999999999995,20.553811676400834
535,1,481,1792.17,1215.84,947.82,268.01999999999987,22.044018949861815
811,13,774,206.45,1110,1378.09,268.0899999999999,24.152252252252246
440,11,960,383.64,1248.46,1516.75,268.28999999999996,21.48967527994489
349,11,1004,167.15,1175.65,1444.83,269.17999999999984,22.896270148428513
895,12,18,2461.37,1556.78,1287.4,269.3799999999999,17.30366525777566
540,5,320,1584.55,1584.73,1313.03,271.70000000000005,17.144876414278777
427,13,235,426.07,897.26,1170.7,273.44000000000005,30.475001671756242
490,7,670,1558.02,1702.81,1977.1,274.28999999999996,16.108080173360502
410,7,847,1994.62,1851.7,2126.37,274.66999999999985,14.83339633849975
402,7,1161,1499.97,1862.45,2137.33,274.8799999999999,14.759053934333801
60,9,885,1764.97,1694.37,1970.43,276.0600000000002,16.292781387772457
900,11,273,502.37,862.61,1139.57,276.9599999999999,32.107209515308185
476,12,965,1700.28,1879.09,2156.69,277.60000000000014,14.773108259849192
331,11,667,1915.95,1732.2,2009.87,277.66999999999985,16.02990416810991
789,4,1001,739.08,1116.31,1394.12,277.80999999999995,24.886456271107484
680,3,870,413.23,795.8,1074.29,278.49,34.99497361146017
962,6,194,914.25,1168.72,1448.08,279.3599999999999,23.90307344787459
973,11,1149,270.81,1284.51,1564.4,279.8900000000001,21.789631844049488
723,7,381,2106.96,1705.27,1985.74,280.47,16.447248822767072
692,6,248,395.4,710.15,990.76,280.61,39.51418714356122
890,1,1035,1289.84,1317.33,1035.96,281.3699999999999,21.35911275079137
661,4,1065,119.34,781.82,1065.15,283.33000000000004,36.239799442326884
269,12,882,1958.14,1944.88,2230.01,285.1300000000001,14.660544609436062
742,14,595,2140.61,1989.13,1703.8,285.33000000000015,14.344462151795012
369,5,789,1853.31,1792.88,1507.19,285.69000000000005,15.93469724688769
394,6,84,852.7,1109.32,1395.58,286.26,25.80499765622183
629,1,979,1292.54,1313.53,1026.84,286.69000000000005,21.82591946891202
850,5,1010,2054.21,1810.37,1523.67,286.6999999999998,15.836541701420142
254,11,920,1338.65,1871.27,2158.45,287.17999999999984,15.346796560624593
582,1,467,296.49,221.23,508.44,287.21000000000004,129.82416489626183
167,5,1076,190.33,879.65,1167.12,287.4699999999999,32.68004319899959
743,7,623,1894.02,1739.49,2027.85,288.3599999999999,16.577272648879838
130,6,233.7,346.98,648.57,937.76,289.18999999999994,44.58886473318222
382,9,1080,539.51,1306.91,1596.26,289.3499999999999,22.140009641061734
407,14,191,2442.76,1798.47,1508.66,289.80999999999995,16.114252670325328
585,12,452,816.56,1243.1,1534.43,291.33000000000015,23.435765425146823
212,1,620,973.91,1112.02,820.17,291.85,26.245031564180504
142,9,1012,1429.04,1880.76,2173.37,292.6099999999999,15.558072268657346
67,3,795,450.85,743.94,1036.84,292.89999999999986,39.37145468720594
910,13,1152,864.45,1797.14,2091.95,294.8099999999997,16.40439809920205
616,5,1080,2383.82,1664.76,1369.31,295.45000000000005,17.74730291453423
238,4,886,2401.28,1698,1994.13,296.1300000000001,17.439929328621915
413,1,211,958.08,891.9,594.02,297.88,33.39836304518444
215,14,516,1464.67,1842.1,2140.99,298.8899999999999,16.22550350143857
161,6,383,462.79,800.3,1101.35,301.04999999999995,37.61714357116081
694,1,1112,2011.44,1423.85,1121.77,302.0799999999999,21.215717947817534
569,4,199,1310.01,1400.57,1097.33,303.24,21.651184874729577
552,8,323,46.48,703.45,400.0,303.45000000000005,43.137394271092475
885,2,897,2382.39,1437.95,1741.89,303.94000000000005,21.13703536284294
931,3,1027,180,804.96,1108.9,303.94000000000005,37.75839793281654
611,1,1068,2011.28,1421.45,1117.36,304.09000000000015,21.39294382496747
327,7,1089,1026.25,2132.85,1827.9,304.9499999999998,14.297770588648984
517,1,436,1358.14,1154.03,849.04,304.99,26.42825576458151
649,1,1113,1536,1403.6,1098.1,305.5,21.76546024508407
213,13,1004,1757.75,1960.67,2266.56,305.8899999999999,15.601299555764095
639,12,1135,475.95,1447.39,1753.62,306.2299999999998,21.157393653403698
73,3,874,1191.4,1515.99,1209.65,306.3399999999999,20.207257303808067
328,1,793,2171.07,1421.36,1114.31,307.04999999999995,21.602549670737883
560,1,1105,1432.3,1387.17,1078.58,308.59000000000015,22.24601166403542
927,11,67,2455.53,1572.91,1263.77,309.1400000000001,19.654017076628673
64,3,981,341.45,813.95,1123.28,309.3299999999999,38.0035628724123
296,4,10,1262.73,1261.41,951.79,309.6200000000001,24.545548235704498
157,1,822,2170.53,1374.91,1065.13,309.78,22.530929297190358
849,12,158,2195.67,1625.46,1314.78,310.68000000000006,19.11335868000443
695,12,1189,1453.16,2162.13,2473.84,311.71000000000004,14.416801949929006
397,6,577,897.74,1257.31,1570.64,313.33000000000015,24.920663957178434
830,12,601,2166.56,1918.46,1604.31,314.1500000000001,16.375113372183943
772,7,953,1918.24,1833.56,2148.2,314.6399999999999,17.160060210737573
285,10,965,1851.28,1805.77,2122.19,316.4200000000001,17.522718840162373
50,10,358,2066.62,1624.11,1306.51,317.5999999999999,19.555325686068056
377,1,752,1632.35,1362.39,1044.04,318.35000000000014,23.367024126718498
978,1,389,1964.96,1228.94,909.9,319.0400000000001,25.960583917847906
669,7,1033,1013.03,2119.83,1800.37,319.46000000000004,15.070076374048865
579,1,673,2026.16,1372.83,1051.82,321.01,23.38308457711443
177,1,989,2196.84,1439.17,1116.54,322.6300000000001,22.417782471841416
356,10,1187,1981.09,2013.21,2335.84,322.6300000000001,16.02565057793276
467,7,690,1807.71,1710.98,2034.04,323.05999999999995,18.88157664028802
305,1,735,1676.9,1365.21,1041.69,323.52,23.697453139077503
492,3,718,1158.02,1416.98,1092.11,324.8700000000001,22.92692910273964
728,1,553,1687.11,1295.34,969.91,325.42999999999995,25.123133694628436
366,14,777,1248.61,1837.25,2164.62,327.3699999999999,17.81847870458565
807,7,381,2342.27,1705.24,2032.8,327.55999999999995,19.209026295418823
270,11,448,732.79,1090.35,1418.11,327.76,30.06007245379924
688,4,1075,586.17,1023.65,1351.95,328.30000000000007,32.07150881649002
496,1,1166,1423.69,1412.13,1082.52,329.6100000000001,23.341335429457637
404,13,996,1809.2,1956.89,2286.92,330.03,16.865025627398573
112,6,72.85,457.75,666.59,997.06,330.4699999999999,49.57620126314525
870,1,791,1927.75,1419.88,1089.17,330.71000000000004,23.29140490745697
809,11,226,2013.45,1590.82,1259.78,331.03999999999996,20.80939389748683
904,12,353,2150.17,1765.67,1434.05,331.6200000000001,18.781539019182524
627,4,1113,2103.82,1695.08,2027.24,332.1600000000001,19.59553531396749
403,2,730,285.24,624.78,958.94,334.1600000000001,53.4844265181344
361,10,215,2440.91,1638.66,1304.28,334.3800000000001,20.405697338068915
93,3,1007.56,187.52,764.64,1099.05,334.40999999999997,43.73430634023854
85,10,424,474.99,831.96,1166.57,334.6099999999999,40.21948170585123
600,1,993,1143.58,1328.85,993.8,335.04999999999995,25.213530496293785
101,3,1020.39,250.62,779.08,1114.52,335.43999999999994,43.05591210145299
321,11,927,1306.37,1804.68,2140.55,335.8700000000001,18.611055699625425
950,14,343,2013.4,1839.05,1503.16,335.8899999999999,18.264321252820743
727,9,1000,1901.79,1778.65,2115.89,337.2399999999998,18.96044753043037
767,2,252,1545.94,1300.19,962.26,337.93000000000006,25.990816726786086
708,7,803,12.75,1146.78,804.8,341.98,29.820889795776
770,9,597,625.99,990.84,1333.18,342.34000000000003,34.55048241895766
68,3,606,1184.23,1364.54,1020.26,344.28,25.23048060152139
292,3,1096,200.27,802.96,1147.31,344.3499999999999,42.88507522167977
831,6,290,814.04,1077.35,1422.84,345.49,32.06850141551028
675,11,958,1999.13,1900.18,2246.43,346.2499999999998,18.221957919776006
733,9,896,1398.54,1727.1,2074.3,347.2000000000003,20.10306293787275
390,1,697,2148.5,1421.07,1073.65,347.41999999999985,24.447775267931902
858,5,387,1882.35,1588.8,1240.53,348.27,21.920317220543804
940,1,1002,2320.13,1475.4,1126.21,349.19000000000005,23.667480005422263
431,2,91,1073.76,1013.78,662.29,351.49,34.67123044447513
574,8,177,486.06,751.58,400.0,351.58000000000004,46.778786024109216
208,4,1000,2355.34,1699.56,2052.14,352.5799999999999,20.745369389724395
980,13,145,2202.42,1716.13,1362.76,353.3700000000001,20.5910974110353
509,1,869,1498.88,1398.94,1045.42,353.52,25.27056199694054
422,5,1085,2486.43,1664.83,1310.84,353.99,21.262831640467798
903,5,659,2083.15,1645.06,1288.69,356.3699999999999,21.663039645970354
372,12,1007,1353.77,1925.32,2282.33,357.01,18.54289157127127
220,3,779,2110.9,1520.73,1161.93,358.79999999999995,23.593931861671695
865,2,762,519.74,752.69,1111.57,358.8799999999999,47.67965563512201
768,14,999,619.42,1510.57,1872.92,362.35000000000014,23.987633807105937
735,3,665,2418.16,1490.96,1128.22,362.74,24.329291194934807
658,1,872,2420.07,1456.34,1092.6,363.74,24.976310476949067
491,11,844,1962.77,1787.57,2151.86,364.2900000000002,20.37906207868784
408,7,776,2447.82,1826.93,2192.16,365.2299999999998,19.991461084989563
677,5,1116,2460.46,1711.97,1345.64,366.3299999999999,21.398155341507145
872,12,59,2247.39,1629.92,1261.38,368.53999999999996,22.610925689604393
104,2,794.32,402.31,671.06,1039.93,368.8700000000001,54.96825917205618
847,11,1013,1483.3,1952.8,2322.02,369.22,18.90721015977059
233,7,987,2164.1,1839.67,2209.27,369.5999999999999,20.09055971994977
957,4,1048,279.75,780.15,1150.01,369.86,47.408831634942
713,1,1058,1601.04,1465.9,1095.85,370.0500000000002,25.24387748141075
921,1,1041,1630.25,1466.95,1095.61,371.34000000000015,25.313746208118896
851,1,682,1517.04,1376.04,1004.5,371.53999999999996,27.000668585215543
985,3,278,994.9,1167.78,793.07,374.7099999999999,32.08737947216085
634,3,769,2497.93,1587.8,1212.99,374.80999999999995,23.605617835999492
516,1,678,1478.57,1370.31,994.77,375.53999999999996,27.405477592661516
319,4,842,2464.29,1611.66,1989.86,378.1999999999998,23.466487968926437
947,4,1100,370.61,860.32,1239.37,379.04999999999984,44.05918727915192
855,3,760,2073.25,1522.45,1142.99,379.46000000000004,24.92429964859273
986,7,1109,2397.29,1917.57,2298.61,381.0400000000002,19.87098254561764
498,3,1013,166.52,711.07,1092.36,381.28999999999985,53.622006272237584
983,1,309,1211.37,1110.55,728.81,381.74,34.37395884921885
638,1,170,2452.85,1209.08,827.28,381.79999999999995,31.577728520858834
906,2,1158,2355.92,1528.91,1911.39,382.48,25.016515033586018
389,14,296,485.68,924.9,1308.3,383.4,41.45313006811547
690,2,719,591.44,755.3,1139.26,383.96000000000004,50.83542963061036
426,7,313,2408.02,1637.65,2022.15,384.5,23.478765303941625
781,7,300,2417.85,1634.04,2019.57,385.53,23.59366967760887
456,1,698,1525.82,1398.75,1011.78,386.97,27.665415549597856
149,7,1006,1181.33,2279.82,1891.9,387.9200000000001,17.015378407067228
545,10,886,1990.03,1749.93,2138.63,388.70000000000005,22.212317064111136
907,3,512,1251.6,1360.76,971.3,389.46000000000004,28.620770745759728
838,5,905,2317.31,1691.38,1300.71,390.6700000000001,23.09770719767291
512,1,716,1396.41,1376.59,985.32,391.26999999999987,28.42313252311871
537,1,45,1070.22,922.69,528.07,394.62,42.76842709902567
479,1,754,1220.47,1346.14,947.74,398.4000000000001,29.595732984682133
999,8,413,222.83,802.95,400.0,402.95000000000005,50.18369761504453
786,14,1020,510.33,1406.95,1810.63,403.68000000000006,28.691851167418886
536,5,233,1862.04,1562.23,1157.24,404.99,25.923839639489703
388,14,1100,237.69,1265.57,1673.38,407.8100000000002,32.223425017976105
749,1,809,1734.56,1447.25,1039.43,407.81999999999994,28.178960096735185
652,7,256,2180.53,1548.87,1956.71,407.84000000000015,26.33145454428068
264,1,9,2246.28,1120.22,710.03,410.19000000000005,36.616914534644984
155,1,123,2076.65,1171.68,761.46,410.22,35.01126587464154
788,12,1046,1850.85,1875.72,2286.24,410.51999999999975,21.885995777621382
81,4,650,619.49,676.38,1087.19,410.81000000000006,60.73656820130696
164,5,1004,2367.63,1743.85,1331.9,411.9499999999998,23.62301803480803
352,1,43,2149.22,1134.47,720.72,413.75,36.47077489929218
909,7,1086,2319.81,1858.36,2275.06,416.70000000000005,22.4229966206763
284,10,160,2272.56,1642.15,1225.34,416.8100000000002,25.38196876046647
576,3,555,2342.76,1458.63,1039.91,418.72,28.706388871749517
298,7,1176,2489.13,1921.16,2340.43,419.26999999999975,21.823793957817138
450,7,577,1959.13,1603.6,2024.78,421.18000000000006,26.264654527313553
769,13,125,2004.61,1721.56,1299.9,421.65999999999985,24.492901786751542
592,14,865,1422.11,1921.18,2345.03,423.85000000000014,22.06196191923714
581,1,250,1300.17,1145.33,720.05,425.28,37.131656378510996
620,7,287,2293.5,1558.09,1990.15,432.0600000000002,27.73010544962102
80,3,624,1160.92,1459.34,1027.03,432.30999999999995,29.62366549261995
113,8,297.64,481.09,835.08,400.0,435.08000000000004,52.100397566700195
218,3,375,1346.21,1339.93,899.05,440.8800000000001,32.90321136178756
705,11,24,2029.04,1569.37,1128.34,441.03,28.102359545550126
44,8,610,208.29,841.27,400.0,441.27,52.452839159841666
351,13,112,2299.56,1807.67,1364.93,442.74,24.492302245431965
309,12,959,1947.82,1833.24,2276.44,443.20000000000005,24.175776221334907
42,11,927,1994.33,1779.12,2223.26,444.1400000000003,24.964027159494602
460,5,781,2114.27,1789.85,1345.66,444.1899999999998,24.817163449451062
701,4,1180,1948.55,1565.16,2010.02,444.8599999999999,28.422653275064526
750,9,1079,1981.94,1763.16,2208.9,445.74,25.280745933437693
883,14,530,2028.06,2079.14,1632.11,447.03,21.500716642457938
679,6,170,476.99,600.23,1047.39,447.1600000000001,74.49810905819437
510,2,875,393.25,640.56,1088.35,447.78999999999996,69.90601973273385
471,4,1194,2250.51,1691.15,2140.18,449.02999999999975,26.551754723117387
518,5,586,2135.36,1661.61,1212.1,449.51,27.052677824519595
174,8,123,612.55,851.24,400.0,451.24,53.0097269865138
170,3,429,2400.13,1411.95,960.32,451.63,31.98626013669039
676,3,186,1068.31,1152.04,697.28,454.76,39.474323808201106
84,1,451,555.49,162.18,617.25,455.07,280.59563448020714
86,2,565,389.49,415.96,871.44,455.4800000000001,109.50091354937976
615,11,816,544.99,1077.12,1533.21,456.09000000000015,42.34347147950091
766,12,46,2077.07,1666.29,1210.09,456.20000000000005,27.37818747036831
800,7,151,2461.93,1516.58,1976.24,459.6600000000001,30.308984689234997
861,7,15,2436.67,1459.63,1923.58,463.9499999999998,31.785452477682686
916,10,108,2181.67,1632.42,1167.78,464.6400000000001,28.463263130811928
420,3,289,1245.67,1279.31,813.72,465.5899999999999,36.3938373029211
290,3,781,1801.38,1586.21,1116.91,469.29999999999995,29.5862464616917
752,8,403,654.97,895.14,424.69,470.45,52.556024755904104
179,1,37,1397.17,1092.94,621.35,471.59000000000003,43.14875473493513
702,5,36,2022.94,1410.58,938.56,472.02,33.46283089225708
828,2,1038,685.07,962.14,1434.28,472.14,49.071860643981125
406,2,1139,306.43,726.14,1201.05,474.90999999999997,65.4019885972402
896,3,560,1664.15,1419.48,941.62,477.86,33.664440499337786
118,8,266.87,252.08,880.41,400.0,480.40999999999997,54.56662236912347
881,9,1139,1973.31,1759.33,2244.78,485.4500000000003,27.592890475351428
674,5,778,2423.47,1643.96,1158.28,485.68000000000006,29.543297890459623
106,2,851.68,473.96,650.68,1136.83,486.15,74.71414520194259
943,3,280,1090.37,1256.92,768.59,488.33000000000004,38.85131909747637
274,3,1166,530.44,785.59,1275.33,489.7399999999999,62.34040657340342
415,3,196,1211.68,1229.87,740.12,489.7499999999999,39.8212819241058
646,14,1153,346.58,1292.93,1785.12,492.1899999999998,38.067799494172135
636,12,1088,1977.91,1883.21,2377.91,494.6999999999998,26.268976906452266
219,4,1124,2177.18,1567.43,2063.95,496.51999999999975,31.67733168307355
628,14,267,2090.21,1968.4,1471.44,496.96000000000004,25.24690103637472
99,3,1061.15,388.5,693.36,1198.21,504.85,72.8121033806392
291,3,158,1070.74,1183.16,678.29,504.8700000000001,42.671320869535826
992,5,895,2329.69,1791.96,1287.09,504.8700000000001,28.174177995044538
753,8,534,429.88,916.02,401.37,514.65,56.18327110761774
732,3,1074,247.32,636.02,1150.73,514.71,80.92670041822585
89,2,384,495.49,290.36,831.35,540.99,186.3169858107177
993,8,372,348.37,950.24,400.0,550.24,57.90537127462536
672,8,392,661.27,978.13,423.88,554.25,56.66424708372097
370,4,825,874.99,784.52,1342.75,558.23,71.15561107428746
434,5,210,710.49,483.34,1042.02,558.6800000000001,115.58737120867299
934,3,334,2449.89,1472.53,901.28,571.25,38.79377669724896
393,3,139,2428.89,1345.66,761.63,584.0300000000001,43.40100768396178
913,3,327,2141.92,1438.41,850.19,588.22,40.893764642904316
121,8,264.94,720.67,1019.85,411.54,608.31,59.647006912781286
462,5,503,2335.55,1649.42,1040.53,608.8900000000001,36.915400565047115
505,8,562,2479.33,1478.31,857.85,620.4599999999999,41.97089920246768
108,3,1317.07,476.87,787.42,1412.7,625.2800000000001,79.40870183637705
180,8,488,439.7,1030.13,400.0,630.1300000000001,61.16994942385913
959,3,240,1895.67,1386.33,752.35,633.9799999999999,45.73081445254737
286,3,266,2178.16,1447.95,812.92,635.0300000000001,43.85717738872199
348,3,213,1724.85,1344.71,707.83,636.88,47.36188471863822
244,4,286,1063.49,418.17,1057.02,638.8499999999999,152.77279575292343
711,5,516,1878.49,669.85,1322.83,652.9799999999999,97.48152571471223
996,1,1082,1809.49,446.94,1108.67,661.73,148.0579048641876
716,8,792,2437.24,1556.7,894.59,662.11,42.53292220723325
506,5,132,2387.03,1454.05,779.62,674.43,46.3828616622537
303,8,1090,419.76,1189.47,510.35,679.12,57.09433613289953
240,8,275,2347.09,1454.47,771.36,683.11,46.96624887416035
944,5,644,2383.17,1785.53,1099.38,686.1499999999999,38.42836580735131
268,8,1166,99.47,1149.07,455.08,693.99,60.395798341267295
873,8,626,545.84,1142.89,445.28,697.6100000000001,61.03912012529641
618,3,29,1632.85,1269.1,565.23,703.8699999999999,55.462138523363016
587,8,107,2450.89,1468.19,760.6,707.59,48.19471594275945
527,3,133,1728.5,1373.4,652.38,721.0200000000001,52.498907820008746
889,3,91,1640.15,1338.3,609.72,728.5799999999999,54.44070836135395
863,5,41,2314.68,1500.28,766.61,733.67,48.90220492174794
192,8,342,2259.06,1502.02,765.39,736.63,49.04262260156323
381,8,621,2391.34,1593.12,850.29,742.8299999999999,46.62737270262127
704,8,52,2353.5,1485.05,728.17,756.88,50.966634120063304
344,8,7,2075.6,1422.12,658.03,764.0899999999999,53.72893989255477
538,5,152,2444.81,1523.75,757.35,766.4,50.29696472518458
939,8,936,556.28,1277.26,509.58,767.6800000000001,60.10365939589434
438,8,312,2383.17,1557.27,786.7,770.5699999999999,49.48210650689989
82,6,204,818.99,628.4,1400.27,771.87,122.83099936346278
953,8,204,2178.45,1506.38,720.06,786.3200000000002,52.19931225852707
280,8,1012,2390.84,1732.12,928.38,803.7399999999999,46.40209685241207
315,8,466,2064.63,1558.12,747.42,810.6999999999999,52.0306523245963
115,5,195.73,1228.49,511.23,1342.81,831.5799999999999,162.66259804784536
511,8,888,2296.07,1718.71,882.74,835.97,48.63938651663166
706,8,221,936.98,1287,450.34,836.6600000000001,65.00854700854701
221,8,1173,671.25,1419.34,582.28,837.06,58.97529837811941
966,8,916,2417.62,1755.05,915.08,839.9699999999999,47.86017492379134
375,8,1159,2175.27,1752.18,910.36,841.82,48.04415071510918
668,8,77,1930.98,1485.69,640.22,845.47,56.90756483519442
55,8,630,967.69,1388.05,538.89,849.16,61.1764705882353
846,8,867,2373.39,1747.22,895.55,851.6700000000001,48.74429093073569
746,8,255,1817.19,1510.91,650.78,860.1300000000001,56.92794408667624
117,8,302.24,1046.04,1353.77,490.58,863.19,63.76193888178938
520,14,481,939.99,877.17,1750.26,873.09,99.53486781353672
398,8,200,1508.89,1461.33,571.96,889.3699999999999,60.860312181369025
614,8,544,1279.51,1483.77,590.29,893.48,60.21687997465914
588,8,80,1092.18,1365.73,456.28,909.45,66.59076098496774
424,8,415,1214.97,1473.75,550.29,923.46,62.66055979643767
58,8,467,1178.71,1483.33,552.72,930.6099999999999,62.73789379301976
475,8,638,1007.48,1483.06,549.25,933.81,62.96508570118539
482,8,592,1402.98,1561.41,627.06,934.3500000000001,59.8401444847926
41,8,862,1817.85,1719.37,772.33,947.0399999999998,55.080640001861134
833,8,303,1072.44,1453.25,496.54,956.71,65.83244452090143
799,8,34,1225.2,1438.52,476.34,962.1800000000001,66.88680032255374
964,8,1053,1864.01,1794.57,820.68,973.89,54.268710610341195
495,8,752,1519.78,1662.92,684.75,978.1700000000001,58.822432828999595
466,8,207,1146.93,1479.01,493.72,985.29,66.6182108302175
530,8,1185,554.98,1545.67,559.1,986.57,63.82798398105676
617,8,1124,1908.69,1833.27,844.71,988.56,53.92331735096303
46,8,435,1129.65,1525.26,535.52,989.74,64.88992040701258
122,8,161.15,1230.37,1499.24,502.91,996.3299999999999,66.45567087324244
116,8,276.28,1179.9,1522.6,514.83,1007.7699999999999,66.18744253251018
367,11,740,1171.99,902.09,1921.19,1019.1,112.97098959083904
606,8,633,1308.36,1639.12,614.44,1024.6799999999998,62.51403191956659
138,8,1118,1758.52,1852.47,810.47,1042.0,56.24922400902579
139,8,1064,1756.52,1857.04,799.23,1057.81,56.96215482703657
589,8,945,766.98,1625.53,557.74,1067.79,65.68872921447159
995,8,978,710.43,1624.58,551.89,1072.69,66.02875820211995
604,8,836,735.52,1606.63,529.01,1077.6200000000001,67.0733149511711
214,8,962,1929.63,1897.19,816.92,1080.27,56.94052783326921
152,4,69,2321.49,322,1414.83,1092.83,339.388198757764
136,8,892,1768.53,1902.37,767.48,1134.8899999999999,59.65663882420349
623,8,801,1241.21,1780.65,633.27,1147.38,64.43602055429197
187,8,817,1455.73,1847.26,683.66,1163.6,62.990591470610525
477,8,1182,990.07,1840.75,654.22,1186.53,64.45905201684096
747,8,1009,1378.07,1903.76,704.98,1198.78,62.969071731730885
919,8,897,1536.36,1944.62,717.4,1227.2199999999998,63.108473634951814
761,8,1142,776.74,1827.44,599.28,1228.16,67.20658407389573
162,8,1005,1391.37,1987.39,707.1,1280.29,64.420672339098
133,8,891,1194.36,2016.46,640.96,1375.5,68.21360205508662
432,8,1187,1045.91,2047.06,667.5,1379.56,67.39226011939074
814,8,829,1147.89,2004.34,618.34,1386.0,69.14994462017422
751,8,1134,1049.84,2073.13,657.76,1415.3700000000001,68.27212958184002
513,8,1025,1031.33,2214.64,631.89,1582.75,71.46759744247373
